genero_principal,title,vote_average
Drama,Slogan,6.0
Horror,One Missed Call 2,5.6
Horror,One Missed Call 3: Final,4.9
TV Movie,The Boy in the Plastic Bubble,5.8
Action,Allies,5.3
Drama,Cartel Land,7.4
Horror,The Attic,3.8
Drama,The Dynamiter,6.6
Mystery,The Secret Village,2.4
Drama,Arcadia,6.0
Comedy,Brightest Star,4.5
Drama,First Winter,4.0
Music,Placebo: Soulmates Never Die: Live in Paris 2003,6.0
Comedy,Helena from the Wedding,5.0
Romance,Always,7.5
Horror,Kiss the Abyss,6.0
Action,Long Arm of the Law,6.3
Romance,Mantervention,5.5
Drama,Pilgrim Song,5.0
Drama,Sensation,3.7
Action,Baahubali: The Beginning,7.5
Comedy,La Fleur de l'âge,6.3
Animation,Pokémon Ranger and the Temple of the Sea,5.6
Family,Heart of the Country,6.0
Horror,Neon Maniacs,4.8
TV Movie,Hunt for the Labyrinth Killer,6.3
Documentary,Daniel's World,4.0
Animation,Yellowbird,4.9
Thriller,Snow in Paradise,4.4
Documentary,I Am Steve McQueen,5.6
Comedy,Electrical Girl,0.0
Documentary,Pantani: The Accidental Death of a Cyclist,6.5
Comedy,Learning to Drive,6.1
Comedy,Spaghetti Story,6.7
Drama,Kattradhu Thamizh,6.9
Drama,Julio Begins in July,7.2
Science Fiction,The 27th Day,6.1
Family,Everything's Gonna Be Great,8.0
Horror,Gothic & Lolita Psycho,5.1
Drama,Law of the Border,5.6
Documentary,The Human Experiment,6.0
Documentary,"Return to the Philippines, the Leon Cooper Story",0.0
Drama,The Sleepwalker,4.1
Documentary,The True Cost,7.7
Thriller,The Blue Elephant,6.5
Thriller,Cut!,2.5
Animation,Ooops! Noah is Gone...,5.8
Action,Southpaw,7.3
Action,Sicario,7.2
Action,Lee Rock,5.3
Comedy,UMMAH - Unter Freunden,6.7
Thriller,The Bride He Bought Online,5.3
Documentary,Winston Churchill: Walking with Destiny,5.5
Drama,Goodnight Mommy,6.6
Drama,Crimes of the Past,0.0
Thriller,Aftermath,3.9
Drama,Out of Reach,5.0
Thriller,Nowhere to Hide,4.3
Drama,Low Fidelity,7.5
War,The Year That Trembled,0.0
Thriller,Bad Behavior,5.7
Comedy,What the Deaf Man Heard,3.3
Family,Saint Maybe,6.5
Horror,Insane,3.1
Horror,Spirit Stalkers,2.0
Thriller,Biology 101,6.5
Mystery,Down Here,5.0
Crime,Honor Thy Father,4.0
Comedy,One Wild Moment,5.8
War,War Pigs,4.8
Action,10 Cent Pistol,4.4
Comedy,Todd Barry: The Crowd Work Tour,7.0
Drama,X+Y,6.5
Horror,Dark Was the Night,5.4
Comedy,The Substitute,6.4
Horror,Djinn,4.3
Documentary,The Crisis of Civilization,8.3
Action,Fatal Contact: Bird Flu in America,5.4
Drama,Before We Go,6.5
Drama,Jitters,6.1
Adventure,"Bruc, the Manhunt",4.6
Thriller,Venetian Bird,8.0
Documentary,Best of Enemies,7.2
Horror,Lavalantula,5.4
Action,Sharktopus vs. Whalewolf,3.5
Drama,The Deceased,6.2
Drama,For Here or to Go?,0.0
Fantasy,Erotic Ghost Story,7.5
Drama,Chloe and Theo,6.4
Documentary,I Am Big Bird: The Caroll Spinney Story,7.0
Documentary,Forks Over Knives Presents: The Engine 2 Kitchen Rescue,0.0
Science Fiction,The Phoenix Project,3.4
Documentary,Cocaine Unwrapped,4.0
Comedy,Eugene Mirman: Vegan on His Way to the Complain Store,9.0
Drama,The Last Lullaby,0.0
Comedy,Filomena Marturano,0.0
Romance,Walk Cheerfully,4.8
Comedy,Hard Luck,7.3
Comedy,Smosh: The Movie,4.8
Action,The Skulls II,5.3
Thriller,The Skulls III,4.8
Romance,Marina,7.0
Thriller,Bad Turn Worse,5.6
Thriller,Firequake,4.4
Action,Dog Eat Dog,6.9
Thriller,Sand Castles,4.7
TV Movie,Doors Open,4.9
Comedy,Hollywoo,5.4
Drama,Vanaprastham,7.2
Comedy,Honeymoon in Bali,6.5
Action,Chrysalis,5.4
Action,The Challenge,4.8
Drama,The Scapegoat,6.5
Documentary,Messi,7.7
Horror,Charlie's Farm,4.8
Action,Robotrix,7.2
Romance,The Fruit is Swelling,4.7
Comedy,Viva Erotica,8.0
Comedy,R20,6.3
Drama,Chevalier,6.0
Drama,Wasted Youth,4.8
Animation,Anomalisa,6.9
Drama,Colonia,7.4
Action,Ghost in the Shell Arise - Border 2: Ghost Whispers,7.4
Action,Ghost in the Shell Arise - Border 3: Ghost Tears,6.7
Action,Ghost in the Shell Arise - Border 4: Ghost Stands Alone,6.9
Drama,Qissa: The Tale of a Lonely Ghost,6.2
Comedy,Up to His Ears,6.5
Documentary,A Year in Champagne,6.4
Drama,Sherlock Holmes,5.0
Documentary,The Trail Of Tears: Cherokee Legacy,0.0
Documentary,Stephen Fry: The Secret Life of the Manic Depressive,6.0
Thriller,Dr. Ketel,5.0
Documentary,FTA,6.0
Drama,2 Young,7.3
Drama,But Always,5.6
Drama,Tiny Times,4.2
Drama,Tiny Times 2,4.7
Romance,Tiny Times 3,3.1
Comedy,"English, August",9.0
Drama,Somewhere Only We Know,6.2
Drama,The Continent,6.6
Comedy,Triumph in the Skies,3.9
Thriller,The Eleventh Victim,3.9
Thriller,The Bees,4.4
Action,Russian Terminator,8.0
Documentary,Black Indians: An American Story,0.0
Comedy,Do Not Disturb,5.3
Comedy,Some Kind of Beautiful,5.5
Documentary,The Ghost Army,6.4
Science Fiction,Women of the Prehistoric Planet,2.6
Thriller,Something good,4.8
Drama,"Senza famiglia, nullatenenti cercano affetto",6.0
Comedy,Brancaleone alle crociate,6.9
Comedy,Generation 1000 Euros,5.6
Comedy,Torno a vivere da solo,3.7
Comedy,Fantozzi 2000 - La clonazione,4.5
Drama,Fantozzi The Return,5.4
Comedy,Dear Goddamned Friends,6.8
Comedy,Fantozzi in Heaven,5.6
Comedy,Fantozzi To The Rescue,6.0
Comedy,I Won the New Year's Lottery,5.5
Comedy,Fantozzi Retires,5.9
Comedy,Rimini Rimini,4.5
Comedy,Fracchia Against Dracula,5.8
Comedy,Firefighters,5.4
Comedy,Fantozzi Still Suffers,6.4
Horror,I-Lived,4.9
Drama,Brother's Keeper,4.8
Horror,Always Watching: A Marble Hornets Story,4.8
Comedy,My Friends Act III,6.4
Comedy,Velvet Hands,6.3
Comedy,Ace,5.9
Comedy,Madly in Love,6.8
Comedy,Grand Hotel Excelsior,6.1
Comedy,Special Features: Handsome,5.9
Comedy,The Grumpy,5.6
Romance,Four Lovers,4.9
Drama,The Party at Kitty and Stud's,3.2
Documentary,Language of Love,4.3
Thriller,The Vatican Tapes,4.6
Comedy,Les Barons,6.0
Documentary,"Video Nasties: Moral Panic, Censorship & Videotape",7.2
Drama,Hour of the Star,6.2
Documentary,Best Kept Secret,5.7
Thriller,Kaiji: The Ultimate Gambler,5.9
Thriller,Kaiji 2: The Ultimate Gambler,4.8
Drama,Remembrance,7.4
Documentary,Ultrà,6.6
Crime,Corbo,5.8
Romance,3 Hearts,5.5
Drama,Runoff,4.9
Drama,Brothers of War,4.0
Comedy,Diet of Sex,4.0
Comedy,"If You Don't, I Will",5.3
Drama,Our Little Sister,7.1
Horror,Yakuza Apocalypse,5.8
Comedy,The Intern,7.1
Documentary,"Blue Water, White Death",0.0
Action,Batman Unlimited: Monster Mayhem,6.0
Family,Sam Steele and the Junior Detective Agency,0.0
Drama,Swayamvaram,8.0
Drama,St. Nick,5.0
Drama,Little Jerusalem,6.5
Drama,Extinction,5.5
Comedy,Hollywood Chainsaw Hookers,5.4
Comedy,Intrepido: A Lonely Hero,6.3
Drama,I Will Walk Like a Crazy Horse,7.8
Drama,Bad Boy Street,5.5
Drama,Bhuvan Shome,5.0
Drama,The Story of O Part 2,2.7
Drama,The Suicide Theory,6.2
Drama,A Bottle in the Gaza Sea,7.0
Comedy,Chelsea Handler Uganda Be Kidding Me Live,7.1
Documentary,Dreamcatcher,5.5
Documentary,The Paw Project,10.0
Documentary,The Truth About Webcam Girls,7.3
Documentary,American Courtesans,6.0
Adventure,Descendants,6.7
Drama,Love,5.2
Comedy,Lambchops,6.5
Horror,The Invoking,4.1
Comedy,Midway to Heaven,5.0
Drama,Room,8.1
Comedy,K.O. Miguel,0.0
Drama,Gone with the Pope,6.3
Horror,Kingdom Come,4.4
Drama,The Traffickers,6.5
Drama,To Kill a Man,5.7
Comedy,Dear Santa,6.8
Documentary,Inside Hana's Suitcase,0.0
Animation,Monster High: Scaris City of Frights,6.4
Comedy,Chameleon Street,8.5
Thriller,Backmask,4.7
Drama,The World is Big and Salvation Lurks Around the Corner,7.0
Drama,In the Courtyard,5.3
Adventure,Tarzan II,6.0
Drama,Triple Dog,5.6
Action,P-51 Dragon Fighter,3.6
Comedy,Guest Wife,5.8
TV Movie,A Killer Among Us,4.3
Music,Filmage: The Story of Descendents/All,7.3
Adventure,Pokémon: Giratina and the Sky Warrior,6.6
Horror,The Redeemer: Son of Satan!,5.9
Drama,The Runner,4.6
Drama,Helter Skelter,6.6
Drama,Bandage,6.2
Drama,Tokyo Tower,5.6
Comedy,Twenty,6.9
Thriller,The Gift,6.7
Fantasy,Babine,5.8
Romance,Unter Umständen verliebt,0.0
Documentary,Journey to Planet X,9.0
Thriller,Heart of Stone,0.0
Drama,Set Fire to the Stars,5.3
Documentary,Milk?,0.0
Documentary,George Carlin: Jammin' in New York,7.8
Mystery,The Witch,6.3
Drama,Homeless to Harvard: The Liz Murray Story,6.1
Drama,"Mary Is Happy, Mary Is Happy.",7.3
Fantasy,Tales of the Night,7.7
Comedy,Eldorado,5.8
Horror,The Pack,3.6
Horror,13 Eerie,4.4
Comedy,Men & Chicken,6.6
Comedy,3 Generations,6.1
Animation,Mobile Suit Gundam II: Soldiers of Sorrow,6.8
Animation,Mobile Suit Gundam III: Encounters in Space,6.5
Documentary,The Man Who Saved the World,7.3
Music,B-Movie: Lust & Sound in West-Berlin,8.4
Drama,The Escort,6.0
Drama,Zaytoun,6.6
Documentary,Crossfire: Hate Is Like a Gun,0.0
Drama,A Town Has Turned to Dust,0.0
Mystery,Uncle John,5.9
Crime,Pervert Park,6.8
Drama,No One's Child,8.1
Comedy,Last Cab to Darwin,7.5
Drama,A Tiger Walks,7.0
Action,Kung Fu Killer,4.4
Comedy,Chris Tucker Live,6.5
Crime,Memories,7.2
Crime,Mumbai Police,7.4
Drama,The Orator,6.7
Comedy,Hairbrained,5.4
Romance,Romantic Prelude,0.0
Foreign,Maundy Thursday,5.8
Crime,Yuma,6.6
Adventure,Admiral,6.4
Animation,Lava,7.4
TV Movie,Assault at West Point: The Court-Martial of Johnson Whittaker,6.5
Adventure,The Man Called Flintstone,7.0
TV Movie,The Hunley,6.0
Comedy,Gabriel Iglesias: I'm Not Fat... I'm Fluffy,6.7
Comedy,Richard Jeni: A Big Steaming Pile of Me,0.0
Documentary,Mind Meld: Secrets Behind the Voyage of a Lifetime,6.6
Comedy,Bill Cosby: Far From Finished,7.4
Comedy,Au Pair II,4.5
Science Fiction,Doctor Who: The Waters of Mars,8.0
Action,Scabbard Samurai,6.5
Animation,Short Peace,7.0
Animation,Rikki-Tikki-Tavi,5.4
Adventure,War Arrow,6.4
Drama,The Crucifer of Blood,6.7
Action,The Chosen One: Legend of the Raven,7.0
Comedy,¡A volar joven!,6.0
Drama,About Sarah,5.0
Comedy,The Three Stooges,4.8
Action,Van Helsing: The London Assignment,6.0
Drama,A Horse for Danny,5.0
TV Movie,Rose Hill,0.0
Drama,Pistol: The Birth of a Legend,6.3
Drama,The Christmas Box,4.6
Family,Where The Red Fern Grows II: The Classic Continues,5.5
Family,Animal Farm,5.9
Adventure,The Black Shield Of Falworth,6.0
Action,Jonny Quest Vs. The Cyber Insects,0.0
Comedy,Scared Stiff,6.3
Comedy,Cas & Dylan,6.0
Drama,Gladiators 7,0.0
Family,Charley and the Angel,5.0
Action,Atom Man vs Superman,3.8
Action,Superman,4.0
Science Fiction,The Invisible Boy,5.0
Drama,Tired of Kissing Frogs,6.2
Action,Night Of The Twisters,4.5
Comedy,The 4th Tenor,4.3
Comedy,One Wild Oat,2.8
Family,The Biscuit Eater,0.0
Adventure,The Deerslayer,6.0
Action,Captain America,5.8
Drama,Joni,0.0
Comedy,"It's A Bird, It's A Plane, It's Superman!",5.5
Drama,Anne Of Green Gables: The Continuing Story,6.2
TV Movie,Return to Mayberry,4.0
Action,CHiPs '99,4.7
Romance,Au Pair,4.3
Action,Sting of the Black Scorpion,8.0
Action,Black Scorpion,6.1
Comedy,Black Scorpion II: Aftershock,5.7
History,Grace Kelly,5.5
Drama,The Audrey Hepburn Story,4.9
TV Movie,The Dukes of Hazzard: Reunion!,3.5
Drama,Right on Track,5.4
TV Movie,I Spy Returns,0.0
TV Movie,The Pretender 2001,5.4
TV Movie,The Harlem Globetrotters on Gilligan's Island,2.5
TV Movie,The Pretender: Island of the Haunted,4.5
Comedy,Rescue From Gilligan's Island,4.1
TV Movie,Death Train,4.4
Family,The Parent Trap II,5.1
Animation,"Family Guy Presents: Something, Something, Something, Dark Side",7.2
TV Movie,Mary and Rhoda,0.0
Drama,Michael Jordan: An American Hero,5.2
Drama,Daydream Believers: The Monkees Story,4.0
Animation,"Puff, the Magic Dragon",7.0
Science Fiction,Planet Outlaws,4.7
Mystery,The Shadow Strikes,3.7
Western,Walk the Proud Land,5.6
Comedy,Sailor Beware,6.4
Family,Island of the Blue Dolphins,5.7
Drama,The Biscuit Eater,5.9
Thriller,Fatal Bond,7.5
Documentary,Dan Aykroyd - Unplugged On UFO's,4.0
TV Movie,Hellboy Animated: Blood and Iron,6.7
Drama,Divina Confusión,4.3
Comedy,Nancy Drew... Reporter,6.7
Drama,Charro!,5.7
Comedy,Hidden Secrets,0.0
Animation,The First Snow of Winter,6.0
Horror,The Visit,6.0
Crime,Secret in Their Eyes,6.2
Fantasy,Princess Iron Fan,5.3
Horror,Sinister 2,5.5
Science Fiction,"Gwen, the Book of Sand",6.5
Horror,Nesting,4.5
Action,Redeemer,4.7
Comedy,Poor Pierrot,6.1
Science Fiction,The Electric Hotel,6.0
Documentary,Birth of a Flower,7.0
Animation,Fantasmagorie,6.8
Comedy,The Merry Skeleton,7.0
Comedy,The Melomaniac,6.2
Animation,"Winsor McCay, the Famous Cartoonist of the N.Y. Herald and His Moving Comics",6.1
Animation,The Dinosaur and the Missing Link: A Prehistoric Tragedy,5.5
Documentary,A Is for Autism,8.5
Drama,7/G Rainbow Colony,6.0
Comedy,Jeff Ross Roasts Criminals: Live at Brazos County Jail,7.8
Family,Let It Shine,5.9
Crime,Sinful Davey,6.0
Adventure,Further Adventures of the Wilderness Family,5.7
Comedy,Spud 2: The Madness Continues,7.2
Documentary,How to Sell a Banksy,7.5
Comedy,My Sweet Little Village,7.5
Documentary,I Am Chris Farley,7.2
Adventure,The Secret Ways,5.0
Western,The Wild and the Innocent,6.2
Western,Apache Rifles,4.7
Western,Drums Across the River,4.0
Comedy,Heart of a Dog,4.0
History,The Mill on the Po,5.0
Action,Get Smart's Bruce and Lloyd Out of Control,5.3
Comedy,"Chronic-Con, Episode 420: A New Dope",3.7
Documentary,Russell Brand - From Addiction to Recovery,8.0
Drama,Battle for Sevastopol,7.3
Drama,Snails in the Rain,6.7
Horror,Under the Bed,5.0
Documentary,Another World,0.0
Horror,Almost Mercy,5.5
Thriller,I've Been Waiting for You,4.9
Mystery,Nancy Drew,2.0
Comedy,"Csocsó, avagy éljen május elseje!",6.0
Comedy,Dollybirds,6.4
Music,Made in Hungaria,7.2
Documentary,Spirit of the Marathon,6.9
Drama,Painted Skin: The Resurrection,5.5
Action,Sakura Killers,7.5
Comedy,The Rise and Rise of Michael Rimmer,7.7
Drama,84C MoPic,5.8
Crime,Deadly Chase,0.0
Comedy,Ghadi,8.7
Drama,West,6.7
Crime,Your Honor,0.0
Drama,Dog Tags,7.0
Horror,Nightmare,5.5
Thriller,A White Dress for Marialé,7.5
Adventure,Dragon Nest: Warriors' Dawn,6.8
Science Fiction,Harbinger Down,4.6
Science Fiction,The Bunker of the Last Gunshots,5.9
Action,Hollywood Vice Squad,0.0
Animation,Curious George 2: Follow That Monkey!,6.1
Romance,Death Comes to Pemberley,6.7
Comedy,American Ultra,6.0
Action,No Escape,6.7
Drama,Straight Outta Compton,7.7
Drama,Viva Algeria,7.2
Crime,Ruined Heart: Another Love Story Between A Criminal & A Whore,6.7
Adventure,Dungeons & Dragons: The Book of Vile Darkness,4.2
Comedy,Twelve in a Box,6.0
Thriller,Cop Car,5.8
Adventure,The Keeper: The Legend of Omar Khayyam,5.3
Crime,Lassiter,5.5
Action,The Lost Room,7.8
Drama,Eighteen,3.3
Drama,Get Your Stuff,5.6
Drama,The Man I Love,5.5
Drama,10 Attitudes,3.0
Fantasy,16 Wishes,5.5
Comedy,29th and Gay,5.0
Science Fiction,Almost Normal,5.3
Comedy,Long-Term Relationship,5.8
Drama,3-Day Weekend,3.6
Drama,The Big Gay Musical,7.0
Comedy,The Biggest Fan,6.0
Music,Boy Crazy,4.5
Comedy,Conversations with Mother,5.7
Thriller,Puella Magi Madoka Magica the Movie Part I: Beginnings,7.8
Comedy,Pardon My Past,7.5
Documentary,A LEGO Brickumentary,6.4
Drama,Houston,5.5
History,Pasolini,5.5
Drama,Happiness Runs,5.5
Drama,"Helga, She Wolf of Spilberg",4.0
Drama,How to Follow Strangers,5.8
Comedy,Smart Ass,6.3
Drama,Taurus,3.9
Science Fiction,Bermuda Tentacles,3.4
Comedy,Sir Henry at Rawlinson End,5.8
Horror,Midori,7.3
Comedy,Always - Sunset on Third Street,7.4
Action,Truck Turner,7.2
Drama,Kano,7.1
Documentary,Beyond Beauty: Taiwan from Above,6.9
Horror,Attack on Titan,5.3
Animation,Sailor Moon S the Movie: Hearts in Ice,6.4
Animation,Sailor Moon R: The Movie,7.3
Animation,Sailor Moon Super S: The Movie,6.6
Adventure,Marco Polo,5.2
Comedy,Tangerine,6.9
Fantasy,Merlin and the War of the Dragons,3.1
Thriller,Air,4.8
Comedy,Just Peck,5.9
Adventure,Götz von Berlichingen,3.4
Action,009-1: The End of the Beginning,3.5
Fantasy,The Legend of Secret Pass,3.5
Fantasy,Witchville,4.5
Adventure,Dead Before Dawn 3D,4.3
Action,Savaged,5.7
Documentary,Modern Life,9.3
Drama,13 Minutes,7.0
Comedy,I Kissed a Girl,5.9
Drama,Dead Europe,5.5
Thriller,Every Secret Thing,5.7
Science Fiction,964 Pinocchio,5.9
Drama,"Dagmar's Hot Pants, Inc.",3.5
Thriller,Inner Demons,4.6
Comedy,Women Who Flirt,5.5
Comedy,Hacker,3.0
Comedy,Khottabych,5.3
Science Fiction,Butterfly,10.0
Comedy,Do You See Me?,6.1
Family,Match,5.6
Drama,Clandestinos,4.2
Documentary,The Past Is a Grotesque Animal,5.5
Adventure,Swallows and Amazons,6.9
Comedy,Boys in Brazil,0.0
Drama,4 Moons,7.7
Comedy,Fashion Victims,6.6
Drama,I Am Happiness on Earth,5.9
Drama,The Road To Love,5.0
Comedy,Summer Nights,5.3
Drama,Holiday,7.3
Comedy,Love in First Class,4.8
Drama,Ernesto,6.2
Comedy,Malicious,6.0
Drama,Mother's Heart,7.0
Drama,Come Play with Me,5.8
Adventure,Treasure Guards,3.2
Drama,Joy,6.4
Comedy,Shut Up Little Man! An Audio Misadventure,5.3
Crime,Tracks,0.0
Thriller,Blindside,0.0
Action,Vettaiyaadu Vilaiyaadu,6.9
Mystery,Azazel,2.0
Mystery,The Turkish Gambit,6.3
Drama,Iron & Blood: The Legend of Taras Bulba,5.0
Drama,The PyraMMMid,5.9
Documentary,Google Me,4.0
Animation,Daisy Town,6.8
Documentary,Next Goal Wins,7.5
Comedy,Bad Faith,5.8
Thriller,Amnesiac,4.1
Thriller,The Climber,0.0
Comedy,Star Spangled Girl,0.0
Adventure,Supersonic Man,3.5
Music,Final Accord,6.5
Drama,Pillars of Society,0.0
Drama,The Girl from the Marsh Croft,8.0
Drama,La Habanera,6.0
Action,Deck the Halls,3.5
War,Cure: The Life of Another,6.2
Romance,Library Wars,5.5
Fantasy,Ditto,6.4
Drama,Victor Frankenstein,5.6
Drama,Rembetiko,7.6
Documentary,Sholem Aleichem: Laughing In The Darkness,7.0
Documentary,Broadway Musicals: A Jewish Legacy,0.0
Crime,The Fall of the Essex Boys,4.5
Documentary,Three Miles North of Molkom,6.0
Comedy,Animalympics,5.6
Comedy,The Sensuous Nurse,6.4
Drama,4 Minute Mile,5.5
Comedy,Get a Clue,4.9
Comedy,Questi fantasmi,0.0
Music,Industrial Soundtrack for the Urban Decay,8.0
Drama,The Last House on the Beach,5.0
Adventure,Theeb‎‎,6.6
Drama,California City,5.5
Documentary,Journey to Space,6.3
Action,The Widow Couderc,7.1
Drama,Manjhi The Mountain Man,6.8
Drama,Masaan,6.9
Comedy,Homies,4.6
Comedy,Uomo e galantuomo,0.0
Action,The Divine Weapon,6.5
Comedy,The Fascist,5.4
Romance,Crazy Desire,6.3
Comedy,The Black Sheep,0.0
Comedy,How I Learned to Love Women,7.0
Drama,El Greco,0.0
History,Being Evel,7.1
Drama,Sujata,5.0
Music,Devdas,4.1
Drama,The Courageous Heart of Irena Sendler,6.6
Comedy,Losers Take All,6.0
Drama,The One That Got Away,7.0
Crime,Salem Falls,5.1
Action,Sharpe's Challenge,6.3
Mystery,Ferat Vampire,6.5
Comedy,Go Away Mr. Tumor,6.0
Family,Brothers,6.3
Drama,FAQs,5.3
Crime,The Iceman and the Psychiatrist,8.0
Comedy,Dave Attell: Road Work,8.8
Action,Guardians,4.4
Action,Green Snake,7.9
Comedy,Nuts in May,7.1
Comedy,The Short & Curlies,6.0
Action,The Terror Live,7.1
Comedy,The Angrez,6.9
Comedy,Alibi Ike,0.0
Crime,Ab Tak Chhappan,6.3
Animation,Arthur 3: The War of the Two Worlds,5.4
Horror,Bloodwork,4.3
Comedy,Body Slam,4.7
Drama,Captive,5.9
Western,Cheyenne,0.0
Drama,Close to My Heart,6.5
Action,"Get Smart, Again!",4.1
Comedy,OPA!,5.0
Drama,Thumb Tripping,0.0
Drama,The Harrad Experiment,2.5
Crime,Corleone,7.0
Horror,The Last House on Dead End Street,4.8
Drama,Death of a Doctor,0.0
Drama,Cry of the Wounded,7.3
Comedy,The Wistful Widow of Wagon Gap,6.8
Comedy,Petunia,5.5
Drama,Pregnancy Pact,4.9
Horror,Dark Corners,5.5
Horror,Animals,3.8
Horror,Flashback,6.0
War,Flashback,5.0
Drama,Flight Angels,0.0
Comedy,Government Girl,5.5
Comedy,Having Wonderful Time,4.3
War,A Hill in Korea,7.0
Music,Hendrix,5.2
Romance,Her Cardboard Lover,5.5
Action,Hero's Island,2.0
Comedy,Holy Matrimony,7.0
TV Movie,Hard Time: Hostage Hotel,5.3
Thriller,In the Arms of a Killer,2.8
Comedy,It's Tough to Be Famous,0.0
Music,Peter Pan,7.2
Drama,"Rock, Paper, Scissors",6.1
Drama,Society Lawyer,5.5
Crime,Street Kings 2: Motor City,4.2
Action,Tapped Out,5.4
Drama,The 25th Hour,7.5
Thriller,The Cabining,5.4
Crime,The Marseille Contract,6.7
Comedy,Jo,7.1
Comedy,The Great Garrick,5.0
War,The Naked and the Dead,3.5
Drama,The Narrow Corner,0.0
Thriller,The Premonition,4.4
Thriller,Breaking at the Edge,4.2
Comedy,Who's Minding The Mint?,8.3
Drama,Spiderwebhouse,7.5
Action,Cyber Wars,6.8
Science Fiction,Spoiler,8.0
Foreign,Meatball Machine,5.4
Comedy,Chop,5.3
Action,Deathline,4.4
Animation,Cyber City Oedo 808,6.0
Drama,"Hard Revenge, Milly: Bloody Battle",4.6
Horror,"Hard Revenge, Milly",4.6
Documentary,The Battle of Chernobyl,6.7
Drama,Sugarhouse,6.6
Thriller,Water Damage,2.0
Crime,One Man Force,4.0
Action,Terminal Justice,6.0
Action,Humanity's End,2.3
Drama,Time Stands Still,5.0
Comedy,Kill Your Friends,5.9
Horror,Nina Forever,5.5
Drama,Equals,5.9
Action,Invincible Shaolin,6.5
Action,Star Trek: Renegades,4.4
Comedy,Scouts Guide to the Zombie Apocalypse,6.2
Comedy,Racquet,3.5
Documentary,We Come as Friends,6.5
Documentary,Portrait of Jason,7.8
Drama,Muhammad: The Messenger of God,5.6
Comedy,Sexy Evil Genius,6.2
Horror,Paranormal Activity: Tokyo Night,5.5
Drama,Suffragette,7.1
Drama,Eskimo,0.0
Action,Joker Game,5.9
Comedy,Guidance,5.3
Drama,The 7th Day,6.4
Drama,Sweet Bean,7.0
Drama,My Friend Victoria,6.1
Comedy,Dégradé,7.7
Drama,War,5.0
Drama,Flowers,6.7
Comedy,The Marquis,5.0
Drama,Hate Crime,5.9
Crime,Thief,7.8
Animation,Clannad: The Motion Picture,6.4
Documentary,Interviews with My Lai Veterans,5.5
Documentary,Vanishing of the Bees,7.3
Drama,Extinction: The G.M.O. Chronicles,5.1
Documentary,The New Black,8.0
Drama,Oscenità,9.0
Documentary,Keep On Keepin’ On,6.9
Documentary,The 50 Year Argument,7.3
Thriller,Peppermint Frappe,6.3
Drama,From a Place of Darkness,0.0
Science Fiction,In the Dust of the Stars,3.3
Documentary,Lost Rivers,0.0
Drama,The High Sun,6.5
History,Blades of Blood,6.2
Music,Memory Vague,0.0
Drama,Young Girls in Black,6.0
Adventure,The Hunchback of Notre Dame II,5.1
Action,HK: Forbidden Super Hero,6.3
Drama,Lollipop Monster,6.9
Thriller,Starve,5.2
Science Fiction,Moscow-Cassiopeia,4.0
Action,Mythica: The Darkspore,5.4
Action,Assassins Tale,4.8
Comedy,Fort Tilden,5.1
Comedy,Some Voices,6.8
Comedy,Slimtime,5.7
Drama,Moss,6.9
Drama,Wanderlust,6.0
Documentary,The Price of Sex,5.0
Animation,Lúdas Matyi,5.5
Drama,As One,7.5
Drama,Retrieval,4.3
Crime,Gun-shy,6.7
Action,Veteran,7.1
Action,Assassination,7.3
Documentary,Race to Nowhere,6.0
Action,Turbo Kid,6.8
Comedy,Oh How It Hurts 66,6.8
Drama,Wasted on the Young,5.3
TV Movie,Dadnapped,4.6
TV Movie,Disappearing Acts,5.3
Comedy,¿Quién mató a Bambi?,5.7
Documentary,Bergman Island,7.0
Documentary,Billy Wilder Speaks,6.6
Drama,Body and Soul,6.8
Comedy,Evergreen,4.5
Drama,One Love,6.0
Documentary,Let There Be Light,7.0
Drama,Paulina,6.7
Documentary,Report from the Aleutians,5.0
Drama,The Princess of Nebraska,5.4
Drama,Mademoiselle Fifi,4.7
Drama,Miracle on Ice,3.9
Drama,One on One,5.5
Drama,Rocky Marciano,5.5
Comedy,The Gay Deception,0.0
Action,The Glory Stompers,6.7
Fantasy,The Last Keepers,4.8
Comedy,The Naked Truth,6.6
Drama,Bridgend,6.0
Drama,Zurich,6.3
Romance,You and the Night,6.5
Crime,Papanasam,7.4
Comedy,The Bad Education Movie,5.5
TV Movie,Santa Baby,5.1
TV Movie,The Unauthorized Saved by the Bell Story,4.9
Drama,We Are Your Friends,6.3
Documentary,Soul Boys of the Western World,5.4
Adventure,2033,3.3
Documentary,Wild Combination: A Portrait of Arthur Russell,6.3
Drama,For the Love of Money,5.6
Comedy,SoulBoy,6.3
Drama,Hawks,5.1
Comedy,Ga-ga: Glory to the Heroes,5.7
Drama,War Room,6.9
Thriller,Shield of Straw,6.0
Drama,Return to Ithaca,5.5
Comedy,Summertime,6.6
Music,Joseph: King of Dreams,6.4
Comedy,Screen Directors Playhouse:  Meet the Governor,0.0
Romance,Tom and Jerry,0.0
Documentary,The Seine Meets Paris,7.5
Documentary,Hurricane of Fun: The Making of Wet Hot,6.5
Crime,Legend,6.7
Drama,Anesthesia,6.0
Comedy,The Outcasts,7.1
Drama,Elephant Song,7.4
Comedy,Side Street Story,7.3
Crime,Drishyam,7.5
Thriller,Phantom,5.5
Thriller,Assassin,0.0
